lat,lng,store_name,address,store_phone_number,store_type,opening_hours,link,other_info,img1,img2,img3
37.4835316,126.9126295,1.5도씨,서울 관악구 조원로18길 15 (신림동),010-9201-9173,제로웨이스트 샵 & 리필,"화~금 09:00-20:00 주말 10:00-20:00",https://www.instagram.com/1.5_do_c/," ",https://user-images.githubusercontent.com/70558461/125624954-bc245199-1783-41d6-a990-843c0b150052.jpg,https://user-images.githubusercontent.com/70558461/125625051-237dbec5-591f-49d3-b6bd-9fc931ec4eea.jpg,https://user-images.githubusercontent.com/70558461/125625189-45bf3556-b530-447d-aa95-77e30a1772d1.jpg
37.5442706,126.8739749,지구살림터,서울 양천구 목동중앙북로16길 41 1층 (목동),070-7670-1004,제로웨이스트 샵 & 리필,"화~토 11:00 ~ 19:00 일 13:00 ~ 17:00",http://instagram.com/jigusallim.ter," ",https://user-images.githubusercontent.com/70558461/125625253-f840374d-702e-4681-9972-5a242ea0c11e.jpg,https://user-images.githubusercontent.com/70558461/125625258-05e450c3-e55e-4632-9f91-8555c14174ec.jpg,https://user-images.githubusercontent.com/70558461/125625267-f6b9234a-4bd6-4301-9cff-b1413110165c.jpg
37.5007395,126.9338591,지구샵,서울 동작구 성대로1길 16 1층 (상도동),02-812-2050,제로웨이스트 샵 & 리필,"화~토 13:00 ~ 20:30",http://www.instagram.com/zerowaste_jigu," ",https://user-images.githubusercontent.com/70558461/125627167-16b24d66-e815-447d-bd0a-0d8dfd40cd71.jpg,https://user-images.githubusercontent.com/70558461/125627019-a3f25c3e-99ef-4254-b9d3-b9cc5f05e681.jpg,https://user-images.githubusercontent.com/70558461/125627033-07b6bdd0-c64a-40c2-9dcf-9e60a7fee356.jpg
37.5643912,126.9174884,유민얼랏,서울 마포구 성미산로17길 68 3호 (연남동),0507-1331-7285,제로웨이스트 샵 & 리필,"화~토 12:00 ~ 19:00",https://www.instagram.com/youmean.alot/," ",,,
37.5536085,126.9115985,알맹상점,서울 마포구 월드컵로 49 2층 (합정동),010-2229-1027,리필 단일샵,"화~일 14:00 ~ 20:00",http://www.instagram.com/almangmarket," ",,,
37.6223528,127.0592938,지구랑 가게,서울 노원구 광운로 53 1층 3호 (월계동),070-7585-7991,제로웨이스트 샵 & 리필,"화~금 11:00 ~ 20:00 토 11:00 ~ 18:00",https://www.instagram.com/jigurang_shop," ",https://user-images.githubusercontent.com/53859836/125620852-3461e965-24fb-4eb1-aacd-8a3fd8197146.jpg,https://user-images.githubusercontent.com/53859836/124919227-ecc02700-e030-11eb-86fd-2b3e8dc59a56.jpg,https://user-images.githubusercontent.com/53859836/125620898-76437b2b-984f-4f55-8b2e-2f7f6dfeef2f.jpg
37.5644783,126.9220027,오즈타운,서울 마포구 동교로 272-8 2층 (연남동),0507-1349-1451,제로웨이스트 샵 & 리필,"화~금 13:00 ~ 19:00 주말 13:00 ~ 18:00",https://www.instagram.com/oz_town/," ",https://user-images.githubusercontent.com/53859836/125621007-b164111a-8cd5-4af8-88e1-7a710bea40bb.jpeg,https://user-images.githubusercontent.com/53859836/125621031-044a3261-c9e3-4c61-b8e5-488626ce3efa.jpeg,https://user-images.githubusercontent.com/53859836/125621069-5a5ea172-bb96-4fe8-a185-87b85eda3eb8.jpeg
37.5129475,126.9416654,비그린,서울 동작구 노량진로 10 1층 (대방동),0507-1418-2042,리필 단일샵,"수~토 13:00 ~ 19:00",https://www.instagram.com/b.green_official/," ",,,
37.5412316,127.093786,디어에코,서울 광진구 아차산로65길 22 1층 (구의동),0507-1337-5180,제로웨이스트 샵 & 리필,"화~금 11:00 ~ 20:00 토 11:00 ~ 18:00",https://instagram.com/dear.eco," ",,,
37.55472779999999,126.9768197,서스테이너블해빗,서울 용산구 소월로2길 5 1층 (후암동),070-4235-8396,제로웨이스트 샵 & 리필,"11:00 - 20:00",http://www.instagram.com/sustainable_habits_/,"음료 사이즈 : 13oz(스타벅스 기준 톨 사이즈)",,,
37.5526206,126.848486,허그어웨일,서울 강서구 화곡로55길 23 (화곡동),02-2038-7209,제로웨이스트 샵 & 리필,"화~금 11:00 ~ 19:30 주말 12:00 ~ 17:30",https://instagram.com/hug_a_whale," ",,,
37.5812074,126.9082238,페이퍼넛츠,서울 서대문구 거북골로24길 37-8 1층 (북가좌동),02-6408-7799,리필 단일샵,"화~토 10:30 ~ 20:30 일 10:30 ~ 18:00",https://www.instagram.com/paper_nuts/," ",,,
37.5591225,126.9170507,빛바람,서울 마포구 월드컵북로 57 1층 101호 (성산동),010-3119-0033,카페,"월/화/목~일 11:00 ~ 22:00 기타(유연근무제)",http://instagram.com/__light_breeze,"음료 : HOT(200ml) ICE(얼음포함 320ml / size up 470ml) \n 샌드위치 최소 15x15 \n 쿠키 지름 5cm",,,
